Fname,Lname,Rank,Year
Cary,Grant,1,1959
Bette,Davis,2,1950
Humphrey,Bogart,3,1942
Ingrid,Bergman,4,1942
James,Stewart,5,1959
Katharine,Hepburn,6,1940
John,Wayne,7,1969
Maureen ,O'Hara,8,1952
Spencer,Tracy,9,1961
Jean,Simmons,10,1955
Robert,Mitchum,11,1947
Marily,Monroe,12,1959
Clark,Gable,13,1934
Carole,Lombard,14,1936
Kirk,Douglas,15,1980
Marlene,Dietrich,16,1957
Gary,Cooper,17,1952
Grace ,Kelly,18,1954
Burt ,Lancaster,19,1953
Deborah,Kerr,20,1956
Fred,Astaire,21,1974
Rita,Hayworth,22,1946
Richard,Widmark,23,1947
Irene,Dunne,24,1937
James,Cagney,25,1938
Ginger ,Rogers,26,1940
Edward,Robinson,27,1944
Gene,Tierney,28,1944
Errol,Flynn,29,1938
Olivia,Havilland,30,1939
Glenn,Ford,31,1946
Joan ,Fontaine,32,1941
Robert,Taylor,33,1949
Greta,Garbo,34,1939
Tyrone,Power,35,1957
Barbara,Stanwyck,36,1944
James,Dean,37,1955
Elizabeth,Taylor,38,1966
Rock,Hudson,39,1956
Doris,Day,40,1955
Frank,Sinatra,41,1953
Eleanor,Parker,42,1965
Dean,Martin,43,1965
Lucille,Ball,44,1951
Gene,Kelly,45,1952
Charles,Laughton,46,1957
Viven,Leigh,47,1957
Peter,Ustinov,48,1960
Orson,Welles,49,1941
Joseph,Cotton,50,1949
David,Niven,51,1976
Anthony,Quinn,52,1964
Gergory,Peck,53,1962
Lauren,Bacall,54,1944
Sophia,Loren,55,1960
Fredric,March,56,1960
Paul,Muni,57,1932
Henry,Fonda,58,1957
Dana,Andrews,59,1944
Montgomery,Clift,60,1953
William,Powell,61,1934
Melvyn,Douglas,62,1979
Myrna,Loy,63,1934
Jean ,Arthur,64,1938
Jean,Harlow,65,1935
William,Holden,66,1953
Claudette,Colbert,67,1934
Kim,Novak,68,1958
Jeanne,Crain,69,1949
Audrey,Hepburn,70,1961
Judy,Garland,71,1939
Rosalind,Russell,72,1958
Charles,Boyer,73,1944
Yul,Brynner,74,1956
Claudette,Colbert,75,1934
Ronald,Colman,76,1947
Joan ,Crawford,77,1962
Cyd,Charisse,78,1962
Yvonne,DeCarlo,79,1956
Ava,Gardner,80,1964
Greer,Garson,81,1940
Stewart,Granger,82,1950
Rex,Harrison,83,1964
Richard,Burton,84,1966
Charlton,Heston,85,1959
Alan,Ladd,86,1953
Hedy,Lamarr,87,1949
Jeanette,MacDonald,88,1942
Laurence,Olivier,89,1972
George,Sanders,90,1950
Norma,Shearer,91,1930
Lana,Turner,92,1966
Mae,West,93,1933
Esther,Williams,94,1949
Marlon,Brando,95,1979
Jennifer,Jones,96,1974
Charles,Chaplin,97,1940
Buster,Keaton,98,1926
Jane,Russell,99,1953
Robert,Ryan,100,1969
Jane,Wyman,101,1981
